"history_day_close","history_day_date","history_day_high","history_day_low","history_day_open","history_day_volume"
250.56,"2014-03-03",251.65,234.99,237.26,13109303
254.84,"2014-03-04",260.0,252.83,258.48,8765392
252.66,"2014-03-05",256.99,251.8,256.51,5946736
252.94,"2014-03-06",257.5,249.45,254.14,7374719
246.21,"2014-03-07",254.85,244.41,253.3,7818465
238.84,"2014-03-10",243.0,236.06,242.32,7745751
234.41,"2014-03-11",244.6,232.4262,236.39,8836349
241.49,"2014-03-12",247.5,231.11,231.19,9763911
237.79,"2014-03-13",244.19,234.0,243.79,6236325
230.97,"2014-03-14",236.9365,228.32,235.29,8289733
233.98,"2014-03-17",237.93,230.5,234.95,5912592
240.04,"2014-03-18",241.5,235.02,236.95,6242349
235.84,"2014-03-19",241.55,233.51,241.39,5071327
234.91,"2014-03-20",239.25,233.36,236.16,3817905
228.89,"2014-03-21",236.2,227.5,236.02,8227311
220.17,"2014-03-24",229.9,210.27,229.75,11332947
220.44,"2014-03-25",227.05,217.9,224.14,7865375
212.901,"2014-03-26",222.6,211.3501,221.95,6907306
207.32,"2014-03-27",213.6,203.0,212.37,9505307
212.37,"2014-03-28",216.72,210.27,212.8,9684761
208.45,"2014-03-31",216.75,206.39,216.5,8380023
216.97,"2014-04-01",218.16,208.58,209.02,7371422
230.29,"2014-04-02",230.89,218.05,220.0,10782251
225.4,"2014-04-03",235.73,222.0,230.3,10923734
212.225,"2014-04-04",228.27,211.25,226.01,11345618
207.52,"2014-04-07",216.2,203.51,205.81,9855478
215.46,"2014-04-08",216.4899,206.42,210.05,6889296
216.93,"2014-04-09",218.45,210.89,216.76,5157923
204.19,"2014-04-10",217.5,203.7901,216.82,7211492
203.78,"2014-04-11",207.0,198.6,200.76,9071300
198.09,"2014-04-14",208.44,194.41,207.6,7703031
193.91,"2014-04-15",199.29,184.32,199.09,13667071
199.11,"2014-04-16",199.99,190.82,197.0,7205319
198.12,"2014-04-17",202.29,194.08,199.61,5929506
204.38,"2014-04-21",206.2,194.0,197.08,5266490
218.64,"2014-04-22",219.33,205.01,206.36,9809333
207.99,"2014-04-23",216.74,207.0,216.33,7295609
207.86,"2014-04-24",212.8,203.2,210.81,5504768
199.85,"2014-04-25",206.7,197.65,201.97,6996658
198.51,"2014-04-28",203.7899,190.5,200.0,7041983
206.92,"2014-04-29",207.149,195.5301,198.21,5787369
207.8101,"2014-04-30",208.16,201.28,203.6,4443453
207.73,"2014-05-01",214.02,205.69,207.08,5444670
210.91,"2014-05-02",211.36,206.52,208.6,4091394
216.61,"2014-05-05",217.69,208.52,209.48,5152343
207.28,"2014-05-06",218.6596,206.85,216.6,5636725
